0,T,0,T/2,0
88182000000,2.98E-23,3.00E-23,1.48E-23,1.50E-23
1.76E+11,1.18E-22,1.20E-22,5.83E-23,6.00E-23
2.65E+11,2.64E-22,2.70E-22,1.29E-22,1.35E-22
3.53E+11,4.67E-22,4.80E-22,2.27E-22,2.40E-22
4.41E+11,7.24E-22,7.49E-22,3.49E-22,3.75E-22
5.29E+11,1.03E-21,1.08E-21,4.96E-22,5.40E-22
6.17E+11,1.40E-21,1.47E-21,6.65E-22,7.34E-22
7.05E+11,1.81E-21,1.92E-21,8.56E-22,9.59E-22
7.94E+11,2.28E-21,2.43E-21,1.07E-21,1.21E-21
8.82E+11,2.79E-21,3.00E-21,1.30E-21,1.50E-21
9.70E+11,3.36E-21,3.63E-21,1.55E-21,1.81E-21
1.06E+12,3.96E-21,4.32E-21,1.81E-21,2.16E-21
1.15E+12,4.62E-21,5.07E-21,2.10E-21,2.53E-21
1.23E+12,5.32E-21,5.88E-21,2.40E-21,2.94E-21
1.32E+12,6.06E-21,6.74E-21,2.71E-21,3.37E-21
1.41E+12,6.85E-21,7.67E-21,3.04E-21,3.84E-21
1.50E+12,7.67E-21,8.66E-21,3.38E-21,4.33E-21
1.59E+12,8.54E-21,9.71E-21,3.73E-21,4.86E-21
1.68E+12,9.44E-21,1.08E-20,4.09E-21,5.41E-21
1.76E+12,1.04E-20,1.20E-20,4.47E-21,6.00E-21
1.85E+12,1.14E-20,1.32E-20,4.85E-21,6.61E-21
1.94E+12,1.24E-20,1.45E-20,5.24E-21,7.25E-21
2.03E+12,1.34E-20,1.59E-20,5.64E-21,7.93E-21
2.12E+12,1.45E-20,1.73E-20,6.04E-21,8.63E-21
2.20E+12,1.56E-20,1.87E-20,6.45E-21,9.37E-21
2.29E+12,1.68E-20,2.03E-20,6.87E-21,1.01E-20
2.38E+12,1.80E-20,2.19E-20,7.29E-21,1.09E-20
2.47E+12,1.92E-20,2.35E-20,7.72E-21,1.18E-20
2.56E+12,2.04E-20,2.52E-20,8.15E-21,1.26E-20
2.65E+12,2.17E-20,2.70E-20,8.58E-21,1.35E-20
2.73E+12,2.30E-20,2.88E-20,9.02E-21,1.44E-20
2.82E+12,2.43E-20,3.07E-20,9.46E-21,1.53E-20
2.91E+12,2.57E-20,3.26E-20,9.90E-21,1.63E-20
3.00E+12,2.70E-20,3.47E-20,1.03E-20,1.73E-20
3.09E+12,2.84E-20,3.67E-20,1.08E-20,1.84E-20
3.17E+12,2.98E-20,3.88E-20,1.12E-20,1.94E-20
3.26E+12,3.13E-20,4.10E-20,1.17E-20,2.05E-20
3.35E+12,3.27E-20,4.33E-20,1.21E-20,2.16E-20
3.44E+12,3.42E-20,4.56E-20,1.25E-20,2.28E-20
3.53E+12,3.57E-20,4.80E-20,1.30E-20,2.40E-20
3.62E+12,3.72E-20,5.04E-20,1.34E-20,2.52E-20
3.70E+12,3.88E-20,5.29E-20,1.38E-20,2.64E-20
3.79E+12,4.03E-20,5.54E-20,1.42E-20,2.77E-20
3.88E+12,4.19E-20,5.80E-20,1.47E-20,2.90E-20
3.97E+12,4.35E-20,6.07E-20,1.51E-20,3.04E-20
4.06E+12,4.51E-20,6.34E-20,1.55E-20,3.17E-20
4.14E+12,4.67E-20,6.62E-20,1.59E-20,3.31E-20
4.23E+12,4.83E-20,6.91E-20,1.63E-20,3.45E-20
4.32E+12,5.00E-20,7.20E-20,1.67E-20,3.60E-20
4.41E+12,5.16E-20,7.49E-20,1.71E-20,3.75E-20
4.50E+12,5.33E-20,7.80E-20,1.75E-20,3.90E-20
4.59E+12,5.50E-20,8.11E-20,1.78E-20,4.05E-20
4.67E+12,5.67E-20,8.42E-20,1.82E-20,4.21E-20
4.76E+12,5.84E-20,8.74E-20,1.86E-20,4.37E-20
4.85E+12,6.01E-20,9.07E-20,1.89E-20,4.53E-20
4.94E+12,6.18E-20,9.40E-20,1.93E-20,4.70E-20
5.03E+12,6.35E-20,9.74E-20,1.96E-20,4.87E-20
5.11E+12,6.52E-20,1.01E-19,2.00E-20,5.04E-20
5.20E+12,6.69E-20,1.04E-19,2.03E-20,5.22E-20
5.29E+12,6.87E-20,1.08E-19,2.06E-20,5.40E-20
5.38E+12,7.04E-20,1.12E-19,2.09E-20,5.58E-20
5.47E+12,7.22E-20,1.15E-19,2.12E-20,5.76E-20
5.56E+12,7.39E-20,1.19E-19,2.15E-20,5.95E-20
5.64E+12,7.57E-20,1.23E-19,2.18E-20,6.14E-20
5.73E+12,7.74E-20,1.27E-19,2.21E-20,6.33E-20
5.82E+12,7.92E-20,1.31E-19,2.24E-20,6.53E-20
5.91E+12,8.09E-20,1.35E-19,2.27E-20,6.73E-20
6.00E+12,8.27E-20,1.39E-19,2.29E-20,6.93E-20
6.08E+12,8.44E-20,1.43E-19,2.32E-20,7.14E-20
6.17E+12,8.62E-20,1.47E-19,2.34E-20,7.34E-20
6.26E+12,8.79E-20,1.51E-19,2.36E-20,7.56E-20
6.35E+12,8.97E-20,1.55E-19,2.39E-20,7.77E-20
6.44E+12,9.15E-20,1.60E-19,2.41E-20,7.99E-20
6.53E+12,9.32E-20,1.64E-19,2.43E-20,8.21E-20
6.61E+12,9.50E-20,1.69E-19,2.45E-20,8.43E-20
6.70E+12,9.67E-20,1.73E-19,2.47E-20,8.66E-20
6.79E+12,9.84E-20,1.78E-19,2.48E-20,8.89E-20
6.88E+12,1.00E-19,1.82E-19,2.50E-20,9.12E-20
6.97E+12,1.02E-19,1.87E-19,2.52E-20,9.35E-20
7.05E+12,1.04E-19,1.92E-19,2.53E-20,9.59E-20
7.14E+12,1.05E-19,1.97E-19,2.55E-20,9.83E-20
7.23E+12,1.07E-19,2.02E-19,2.56E-20,1.01E-19
7.32E+12,1.09E-19,2.07E-19,2.58E-20,1.03E-19
7.41E+12,1.10E-19,2.12E-19,2.59E-20,1.06E-19
7.50E+12,1.12E-19,2.17E-19,2.60E-20,1.08E-19
7.58E+12,1.14E-19,2.22E-19,2.61E-20,1.11E-19
7.67E+12,1.16E-19,2.27E-19,2.62E-20,1.13E-19
7.76E+12,1.17E-19,2.32E-19,2.63E-20,1.16E-19
7.85E+12,1.19E-19,2.37E-19,2.64E-20,1.19E-19
7.94E+12,1.21E-19,2.43E-19,2.65E-20,1.21E-19
8.02E+12,1.22E-19,2.48E-19,2.65E-20,1.24E-19
8.11E+12,1.24E-19,2.54E-19,2.66E-20,1.27E-19
8.20E+12,1.25E-19,2.59E-19,2.66E-20,1.30E-19
8.29E+12,1.27E-19,2.65E-19,2.67E-20,1.32E-19
8.38E+12,1.29E-19,2.71E-19,2.67E-20,1.35E-19
8.47E+12,1.30E-19,2.76E-19,2.68E-20,1.38E-19
8.55E+12,1.32E-19,2.82E-19,2.68E-20,1.41E-19
8.64E+12,1.33E-19,2.88E-19,2.68E-20,1.44E-19
